@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R12,25-28,30-weka.filters.unsupervised.attribute.Remove-R28-29'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute width_map numeric
@attribute height_map numeric
@attribute legal_North {0,1}
@attribute legal_South {0,1}
@attribute legal_East {0,1}
@attribute legal_West {0,1}
@attribute legal_Stop {0,1}
@attribute pacman_direction {North,South,East,West,Stop}
@attribute n_ghosts numeric
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_direction {North,South,East,West,Stop,None}
@attribute ghost2_direction {North,South,East,West,Stop,None}
@attribute ghost3_direction {North,South,East,West,Stop,None}
@attribute ghost4_direction {North,South,East,West,Stop,None}
@attribute n_food numeric
@attribute next_step {North,South,East,West}
@attribute score numeric
@attribute score1 numeric

@data
1,11,30,20,1,1,0,0,1,South,4,5,10,9,3,19,5,24,9,West,West,South,West,0,South,-9,-10
1,10,30,20,1,1,0,0,1,South,4,6,10,9,3,19,4,23,9,East,West,South,South,0,South,-10,-11
1,9,30,20,1,1,0,0,1,South,4,6,9,8,3,19,5,23,8,South,West,North,South,0,South,-11,-12
1,8,30,20,1,1,0,0,1,South,4,6,9,8,3,19,6,23,7,South,West,North,South,0,South,-12,-13
1,7,30,20,1,1,0,0,1,South,4,6,8,9,3,20,6,23,6,South,East,East,South,0,South,-13,-14
1,6,30,20,1,1,1,0,1,South,4,6,8,10,3,21,6,23,6,South,East,East,West,0,East,-14,-15
2,6,30,20,0,1,1,1,1,East,4,6,9,11,3,20,6,22,6,North,East,West,East,0,East,-15,-16
3,6,30,20,1,1,1,1,1,East,4,6,9,10,3,20,5,23,6,North,West,South,West,0,North,-16,-17
3,7,30,20,1,1,1,0,1,North,4,6,8,10,3,20,4,22,6,South,West,South,East,0,East,-17,-18
4,7,30,20,1,1,1,1,1,East,4,6,8,9,3,21,4,23,6,South,West,East,North,0,East,-18,-19
5,7,30,20,1,1,1,1,1,East,4,5,8,10,3,21,3,23,7,West,East,South,South,0,North,-19,180
5,8,30,20,1,1,1,1,1,North,4,1,1,11,3,22,3,23,6,Stop,East,East,South,0,South,180,179
5,7,30,20,1,1,1,1,1,South,4,1,1,11,3,22,4,23,5,Stop,East,North,South,0,East,179,178
6,7,30,20,1,1,0,1,1,East,4,1,1,11,4,21,4,23,4,Stop,North,West,West,0,South,178,177
6,6,30,20,1,0,1,1,1,South,4,1,1,11,5,21,4,22,4,Stop,North,West,South,0,East,177,176
7,6,30,20,0,0,1,1,1,East,4,1,1,11,4,22,4,22,3,Stop,South,East,East,0,East,176,175
